IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
impignorabilità;Unpfändbarkeit;Impignorabilità e insequestrabilità di indumenti e strumenti.;[B]ei Unpfändbarkeit eines zur Finanzierung der für den Botschaftsbetrieb erforderlichen Kosten bestimmten Kontos eines ausländischen Staates wäre der Pfändungs- und Überweisungsbeschluß bei Nachweis der Zweckbestimmtheit des Kontos ohne weitere Nachprüfung aufzuheben [...].
gestione dell'affare;Führung der Geschäft;La gestione dell'impresa o dell'affare spetta all'associante.;
adempimento dell'onere;Vollziehung der Auflage;Per l'adempimento dell'onere può agire qualsiasi interessato.;Die Vollziehung einer Auflage können der Erbe, der Miterbe und derjenige verlangen welchem der Wegfall des mit der Aufalge zunächst Beschwerten unmittelbar zustatten kommen würde.
padre;Vater;Il marito è padre del figlio concepito durante il matrimonio.;Vater eines Kindes ist der Mann, 1. der im Zeitpunkt der Geburt mit der Mutter des Kindes verheiratet ist [...].
efficace;rechtswirksam;La decisione, presa a maggioranza, è immediatamente efficace.;Ein Verwaltungsakt wird gegenüber demjenigen, für den er bestimmt ist oder der von ihm betroffen wird, in dem Zeitpunkt wirksam, in dem er ihm bekannt gegeben wird. Der Verwaltungsakt wird mit dem Inhalt wirksam, mit dem er bekannt gegeben wird. | Der Gewerbetreibende darf […] Vermögenswerte des Auftraggebers zur Ausführung des Auftrages erst entgegennehmen oder sich zu deren Verwendung ermächtigen lassen, wenn 1) der Vertrag zwischen dem Gewerbetreibenden und dem Auftraggeber rechtswirksam ist […].
gestione dell'impresa;Führung der Unternehmen;La gestione dell'impresa o dell'affare spetta all'associante.;
persona;Person;Ogni persona ha diritto al nome che le è per legge attribuito.;Der Grundsatz, dass alle Personen rechtsfähig sind, bedeutet nicht, dass jedermann jede Art von Rechten haben kann.
retribuzione a tempo;Zeitlohn;La più tradizionale delle retribuzioni è quella a tempo [...].;Bei der Bemessung der Leistungszulage können berücksichtigt werden [...] Im Zeitlohn die Arbeitsmenge, die Arbeitsgüte, der Umgang mit Betriebsmitteln und Arbeitsmaterialien, die Leistungsbereitschaft und keine oder nur geringe Fehlzeiten [...].
apparecchio di classe II;schutzisoliert Gerät;Gli apparecchi di classe II non devono essere collegati a terra.;Geräte der Schutzklasse II haben keine Schutzleiteranschlussstelle und [...] entweder zusätzlich zur Basisisolierung eine weitere Isolierung, so dass eine doppelte Isolierung vorhanden ist [...] oder eine verstärkte Basisisolierung. Sie werden als schutzisolierte Geräte bezeichnet.
dimora;Aufenthaltsort;La residenza è nel luogo in cui la persona ha la dimora abituale.;Hat sich der Bürge im Auftrag des Hauptschuldners verbürgt [...] so kann er von diesem Befreiung von der Bürgschaft verlangen: [...] wenn die Rechtsverfolgung gegen den Hauptschuldner infolge einer nach der Übernahme der Bürgschaft eingetretenen Änderung des Wohnsitzes, der gewerblichen Niederlassung oder des Aufenthaltsorts des Hauptschuldners wesentlich erschwert ist [...].
infermità di mente;Bewusstseinstörung;Non può contrarre matrimonio l'interdetto per infermità di mente.;Ohne Schuld handelt, wer bei Begehung der Tat wegen einer tiefgreifenden seelischen Störung, wegen einer tiefgreifenden Bewusstseinsstörung oder wegen Schwachsinns oder einer schweren anderen seelischen Abartigkeit unfähig ist, das Unrecht der Tat einzusehen odre nach dieser Einsicht zu handeln.
gruppo di società;Konzern;Al vertice del gruppo di società si pone una società madre [...].;
comune accordo;gegenseitig Einvernehmen;La potestà è esercitata di comune accordo da entrambi i genitori.;Die Eltern haben die elterliche Sorge in eigener Verantwortung und in gegenseitigem Einvernehmen zum Wohl des Kindes auszuüben. Bei Meinungsverschiedenheiten müssen sie versuchen, sich zu einigen.
riportatore;Hereinnehmer;Il diritto di voto, salvo patto contrario, spetta al riportatore.;
cosa alienata;veräußern Sache;Comunemente per oggetto della vendita si intende la cosa alienata.;Ist eine veräußerte Sache mit dem Rechte eines Dritten belastet, so erlischt das Recht mit dem Erwerbe des Eigentums.
falsa demonstratio;Fehlbezeichnung;L'errore ostativo va distinto dalla c.d. falsa demonstratio [...].;Das gleiche sagt der berühmte Satz: falsa demonstratio non nocet oder: eine falsche Bezeichnung schadet nicht.
trasferimento di portafoglio;Übertragung der Bestand;Per i trasferimenti di portafoglio si osservano le leggi speciali.;Verlieren durch die Bestandsübertragung Mitglieder eines Versicherungsvereins auf Gegenseitigkeit ganz oder zum Teil ihre Rechte als Vereinsmitglied, darf die Genehmigung nur erteilt werden, wenn der Bestandsübertragungsvertrag ein angemessenes Entgelt vorsieht, es sei denn, das übernehmende Versicherungsunternehmen ist ebenfalls ein Versicherungsverein auf Gegenseitigkeit und die von der Bestandsübertragung betroffenen Mitglieder des übertragenden Vereins werden Mitglieder des übernehmenden Vereins.
patto contrario;gegenteilig Abmachung;Salvo patto contrario, la cessione non comprende i frutti scaduti.;Lieferzeiten verstehen sich freibleibend – Zwischenverkauf vorbehalten – und rechnen vom Eingang der Bestellung und aller erforderlichen Unterlagen für die Ausführung. Die Einhaltung der von uns genannten Lieferzeiten, die ohne gegenteilige Abmachung nur annähernd sind, gilt vorbehaltlich unvorhergesehener Vorgänge bei der Fabrikation und sonstigen Hindernissen z.B. höherer Gewalt, Transportverzögerung etc. Schadensersatzansprüche wegen Nichterfüllung oder verspäteter Erfüllung sind ausgeschlossen.
procura apparente;Rechtsscheinvollmacht;Procura apparente altro non è [...] se non procura tacita simulata.;Kannte der Vertretene das Handeln seines angeblichen Vertreters nicht, aber hätte er es bei pflichtgemäßer Sorgfalt erkennen und verhindern können und müssen und durfte der Geschäftsgegner nach Treu und Glauben annehmen, der Vertretene kenne, dulde und billige das Handeln seines Vertreters, so besteht nach umstrittener Ansicht eine Anscheinsvollmacht.
ignoranza della legge penale;Unkenntnis der Strafgesetz;Nessuno può invocare a propria scusa l'ignoranza della legge penale.;Die Angeklagten hätten ferner gehandelt aus einer Mischung von Unwissenheit, Unverstand, vor allem aber aus in Egoismus wurzelnder Rücksichtslosigkeit und Gleichgültigkeit, aus erlernten Problembewältigungsstrategien der Verleugnung und Verdrängung sowie aus Nachlässigkeit und Acht- sowie Sorglosigkeit. | Die Untauglichkeit kann sich auch aus der Unkenntnis des Täters vom Vorliegen eines tatbestandsausschließenden Einverständnis ergeben (kein Diebstahl möglich, wenn Eigentümer mit der Wegnahme einverstanden ist, zB. bei den Lockfällen). .
atto costitutivo;Gründungsvertrag;Il contratto sociale della collettiva è denominato atto costitutivo.;
interdizione dai pubblici uffici;Verlust der Amtsfähigkeit -- der Wählbarkeit und der Stimmrecht;L'interdizione dai pubblici uffici può essere perpetua o temporanea.;
girante;Girant;La girata deve essere scritta sul titolo e sottoscritta dal girante.;
interesse assicurato;versichert Interesse;Il valore dell'interesse assicurato rappresenta il valore assicurato.;Besteht das versicherte Interesse bei dem Beginn der Versicherung nicht (...), so ist der Versicherungsnehmer von der Verpflichtung zu Zahlung der Prämie frei [...].
adozione ordinaria;schwach Adoption;L'adozione dei maggiorenni ha sostituito l'antica adozione ordinaria.;Hinsichltich der Wirkungen der Adoption unterscheidet man zwischen einer starken und einer schwachen Adoption.
separazione dei frutti;Trennung;Finché non avviene la separazione, i frutti formano parte della cosa.;Früchte einer Sache, auch andere wesentliche Bestandteile, können vor der Trennung nicht Gegenstand besonderer Rechte sein [...].
causa;Rechtsstreit;Nell'udienza il giudice incaricato fa la relazione orale della causa.;"Das zuständige Gericht wird durch das im Rechtszug zunächst höhere Gericht bestimmt: 2. wenn es mit Rücksicht auf die Grenzen verschiedener Gerichtsbezirke ungewiss ist, welches Gericht für den Rechtsstreit zuständig sei;"
tesoro;Schatz;Il tesoro appartiene al proprietario del fondo in cui si trova [...].;Das Recht des Nießbrauchers erstreckt sich nicht auf den Anteil des Eigentümers an einem Schatze, der in der Sache gefunden wird.
atto negoziale;rechtsgeschäftlich Handlung;L'atto giuridico si distingue in atto negoziale e atto non negoziale.;Das dingliche Rechtsgeschäft wird ersta dann wirksam, wenn zu Einigung der Publizitätsakt [...] hinzukommt. Übergabe und Eintragung sind Teil des dinglichen Rechtsgeschäfts, sind aber selbst keine rechtsgeschäftlichen Handlungen.
lesione;Verletzung;La lesione deve perdurare fino al tempo in cui la domanda è proposta.;
contestazione dei fatti;Bestreiten von Tatsache;La contestazione dei fatti deve [...] essere precisa e circostanziata.;
diritto di voto;Aktienstimmrecht;Il socio in mora nei versamenti non può esercitare il diritto di voto.;Das Stimmrecht bestimmt sich nach dem Nennbetrag der Aktien. | Das Aktienstimmrecht entsteht mit der vollständigen Leistung der Einlage.
legge straniera;ausländisch Recht;L'accertamento della legge straniera è compiuto d'ufficio dal giudice.;
estinzione dell'ipoteca;erlöschen der Hypothek;L'estinzione dell'ipoteca colpisce [...] lo stesso diritto di ipoteca.;Zum Erlöschen der Hypothek und der Grundschuld führt auch die Befriedigung des Gläubigers aus dem Grundstück.
affine in linea retta;Verschwägerter in gerad Linie;Non possono contrarre matrimonio [...] gli affini in linea retta [...].;Eine Ehe darf nicht geschlossen werden zwischenVerwandten in gerader Linie, zwischen vollbürtigen und halbbürtigenGeschwistern sowie zwischen Verschwägerten in gerader Linie.Das gilt auch, wenn das Verwandtschaftsverhältnis durch Annahmeals Kind erloschen ist.
accettazione parziale;Teilannahme;Parimenti è nulla la dichiarazione di accettazione parziale di eredità.;Folge der Unwirksamkeit einer Teilannahme oder Teilausschlagung ist, dass die ganze Erbschaft mit dem Ablauf der Ausschlagungsfrist als angenommen gilt.
atto di amministrazione;Geschäftsführungsakt;I soci accomandanti non possono compiere atti di amministrazione [...].;
emissione;Erstplazierung;L'emissione e la vendita delle azioni prima dell'iscrizione sono nulle.;Vor der Eintragung der Gesellschaft können [...] Aktien [...] nicht ausgegeben werden. [...] Für den Schaden aus der Ausgabe sind die Ausgeber den Inhabern als Gesamtschuldner verantwortlich. | Sollen Aktien dem Publikum zum Erwerb angeboten werden, so beteiligt sich eine Bank als Gründer an der AG, übernimmt die für das Publikum bestimmten Aktien und bringt diese nach Entstehung der AG durch Verkauf derselben auf dem Anlegermarkt unter - Emission der Aktien, daher Emissionsbank, Emissionskonsortium. | Erstausgabe, auch Begebung oder Erstplazierung genannt, von Effekten und effektenähnlichen Finanzinstrumenten, bzw. die Finanzinstrumente selber, sofern sie zu einer Begebung gehören.
novazione;Schuldumwandlung;La novazione è senza effetto, se non esisteva l'obbligazione originaria.;
donazione;Schenkung;La donazione deve essere fatta per atto pubblico, sotto pena di nullità.;
zona sorvegliata;Überwachungsbereich;Le zone classificate possono essere zone controllate o zone sorvegliate.;Wenn in einem Überwachungsbereich offene radioaktive Stoffe vorhanden sein können, kann die zuständige Behörde festlegen, dass eine Prüfung auch beim Verlassen des Überwachungsbereichs durchzuführen ist.
diritto di opzione;Optionsrecht;Se le azioni attribuiscono un diritto di opzione, questo spetta al socio.;Im Kapitalerhöhungsbeschluß kann jedoch das B[ezugsrecht] ganz oder zum Teil ausgeschlossen werden [...]. | Die [...] Optionsanleihen bestehen i.d.R. aus einer Schuldverschreibung und einem Optionsrecht, das das Recht, aber keine Verpflichtung auf Kauf von Aktien zu einem vereinbarten Preis [...] enthält.
giudice naturale precostituito per legge;ordentlich -- durch Gesetz vorbestimmt Richter;Nessuno può essere distolto dal giudice naturale precostituito per legge.;Gesetzlicher Richter ist sowohl das Gericht als organisatorische Einheit, das erkennende Gericht als Spruchkörper wie der zur Entscheidung im Einzelfall berufene Richter.
zona classificata;Strahlenschutzbereich;Le  zone  classificate possono essere zone controllate o zone sorvegliate.;Der Strahlenschutzverantwortliche hat dafür zu sorgen, dass an Personen, die sich in einem Strahlenschutzbereich aufhalten, die Körperdosis [...] ermittelt wird.
abuso di autorità;Missbrauch der Amtsgewalt;La destituzione è inflitta per [...] grave abuso di autorità o di fiducia.;Der Mißbrauch der Befehlsbefugnis zu unzulässigen Zwecken wird an dem militärischen Vorgesetzten mit Freiheitsstrafe bis zu 2 Jahren bestraft.
testamento pubblico;öffentlich Testament;Il testamento pubblico è ricevuto dal notaio in presenza di due testimoni.;Ein Nachteil des öffentlichen Testaments gegenüber dem eigenhändigen Testament [...] liegt in den entstehenden Kosten.
valutazione d'incidenza;Verträglichkeitsprüfung;La VAS e la VIA comprendono le procedure di valutazione d'incidenza [...].;Für einen Plan [...], der einzeln oder im Zusammenwirken mit anderen Vorhaben, Projekten oder Plänen geeignet ist, ein Natura 2000-Gebiet erheblich zu beeinträchtigen, ist die Verträglichkeitsprüfung  [...] im Verfahren zur Aufstellung oder Änderung des Plans vorzunehmen.
passaporto ordinario;ordentlich Pass;Il passaporto ordinario è individuale. Esso spetta ad ogni cittadino, […].;Der Reisepass, der Dienstpass und der Diplomatenpass sind zehn Jahre gültig.
albo dei periti;Sachverständigenliste;Presso ogni tribunale è istituito un albo dei periti, diviso in categorie.;
giusto processo;fair trial;La giurisdizione si attua mediante il giusto processo regolato dalla legge.;Der Grundsatz des fairen Verfahrens vor Gericht (fair trial) ist eine Ausprägung des Rechtsstaates und auch in Art. 6 [der] Konvention zum Schutz der Menschenrechte und Grundfreiheiten enthalten. | Abweichung von zugesagter Strafobergrenze stellt einen Verstoß gegen das Gebot des fair trial dar.
associazione;Verein;Le associazioni e le fondazioni devono essere costituite con atto pubblico.;Ein Verein [...] erlangt Rechtsfähigkeit durch Eintragung in das Vereinsregister des zuständigen Amtsgericht.
diritto di sciopero;Streikrecht;Il diritto di sciopero si esercita nell'ambito delle leggi che lo regolano.;Ein Streikrecht haben nur Arbeitnehmer, auch im öffentlichen Dienste.
istituzione di erede;Erbeinsetzung;Tanto all'istituzione di erede quanto al legato può essere apposto un onere.;Hat der Erblasser sein Vermögen oder einen Bruchteil seines Vermögens dem Bedachten zugewendet, so ist die Verfügung als Erbeinsetzung anzusehen, auch wenn der Bedachte nicht als Erbe bezeichnet ist.
valore nominale;Nominalwert;Le azioni non possono emettersi per somma inferiore al loro valore nominale.;Aktien dürfen nicht unter dem Nennwert ausgegeben werden [...]. | [Die Stückelung der Aktien] wird als Nennwert bezeichnet und stellt den Nominalwert der Aktie dar.
pacifico godimento;ungestört Nutzung;Il locatore deve [...] garantire il pacifico godimento durante la locazione.;
adesione;Anschließung;L'adesione delle parti può risultare anche dalla sottoscrizione del ricorso.;Nach der Anmeldung des Statuts zum Genossenschaftsregister wird die Mitgliedschaft durch eine schriftliche, unbedingte Beitrittserklärung und die Zulassung des Beitritts durch die Genossenschaft erworben. | Die Anschließung verliert ihre Wirkung, wenn die Revision zurückgenommen oder als unzulässig verworfen wird.
dose addizionale;Zusatzdosis;La dose addizionale va somministrata dopo almeno 28 giorni dall'ultima dose.;"Von den 24 Non-Respondern nach der 2. Impfstoffdosis hatten 2 PatientInnen nach der 3. Impfstoffdosis eine deutliche und 6 eine geringe Antikörperantwort; 5 PatientInnen mit einer initial geringen Antikörperantwort entwickelten nach der Zusatzdosis einen deutlichen Antikörperanstieg."
omissione colposa;fahrlässig Unterlassung;Omissione colposa di cautele o difese contro disastri o infortuni sul lavoro;
rapporti personali;persönlich Rechtsverhältnis;I rapporti personali tra coniugi sono regolati dalla legge nazionale comune.;Personenrechtliche und vermögensrechtliche Beziehungen bestehen dabei nur zwischen den einzelnen Mitgliedern der Familie, die Familiengemeinschaft als solche hat weder Rechtspersönlichkeit noch eigenes Vermögen.
per atto scritto;schriftlich;La vendita di una eredità deve farsi per atto scritto, sotto pena di nullità.;Bei Straftaten, deren Verfolgung nur auf Antrag eintritt, muß der Antrag bei einem Gericht oder der Staatsanwaltschaft schriftlich oder zu Protokoll, bei einer anderen Behörde schriftlich angebracht werden.
operazione bancaria passiva;Passivgeschäft;Il deposito bancario costituisce la tipica operazione bancaria passiva [...].;
affine in linea collaterale;Verschwägerter in der Seitenlinie;Non possono contrarre matrimonio [...] gli affini in linea collaterale [...].;
diritto processuale civile;Zivilprozessrecht;Il diritto processuale civile è una branca del diritto processuale in genere.;
bisogni della famiglia;Lebensbedarf der Familie;Entrambi i coniugi sono tenuti [...] a contribuire ai bisogni della famiglia.;Jeder Ehegatte ist berechtigt, Geschäfte zur angemessenen Deckung des Lebensbedarfs der Familie mit Wirkung auch für den anderen Ehegatten zu besorgen.
riduzione del capitale obbligatoria;obligatorisch Kapitalherabsetzung;Anche la riduzione del capitale obbligatoria può essere nominale o effettiva.;
stato della tecnica;Stand der Technik;Un'invenzione è considerata nuova se non è compresa nello stato della tecnica.;Eine Erfindung gilt als neu, wenn sie nicht zum Stand der Technik gehört.
autonomia patrimoniale;Verselbstständigung der Gesellschaftsvermögen;[La società semplice] presenta un basso grado di autonomia patrimoniale [...].;
prestazione di opera;Werkleistung;Non possono formare oggetto di conferimento prestazioni di opera o di servizi.;Die Werkleistung richtet sich auf die Hestellung eines Werks, § 631 I BGB.
elementi essenziali;wesentlich Bestandteil;La mancanza di uno degli elementi essenziali determina la nullità del negozio.;Essentialia negotii sind notwendige Bestandteile eines Rechtsgeschäfts.
luogo aperto al pubblico;der Öffentlichkeit zugänglich Ort;Per le riunioni, anche in luogo aperto al pubblico, non è richiesto preavviso.;
corrimano;Handlauf;Le rampe delimitate da due pareti devono essere munite di almeno un corrimano.;Flure und Treppen sind an beiden Seiten mit festen Handläufen zu versehen.
affitto di fondo rustico;Pacht ein landwirtschaftlich genutzt Grundstück;Nell'affitto di fondo rustico il canone è determinato e corrisposto in denaro.;Auf die Pacht mit Ausnahme der Landpacht sind [...] die Vorschriften über die Miete entsprechend anzuwenden.
errore;Irrtum;L'errore sul fatto che costituisce il reato esclude la punibilità dell'agente.;
forma scritta;schriftlich Form;La forma scritta può consistere in un atto pubblico o in una scrittura privata.;Das Gesetz kennt folgende Formen: Schriftform, notarielle und gerichtliche Beurkundung, öffentliche Beglaubigung sowie Erklärung vor einer Behörde oder vor Zeugen.
deterioramento;Verschlechterung;Il conduttore non risponde del perimento o del deterioramento dovuti a vetustà.;Veränderungen oder Verschlechterungen der Mietsache, die durch den vertragsgemäßen Gebrauch herbeigeführt werden, hat der Mieter nicht zu vertreten.
borsa;Wertpapierbörse;Le negoziazioni che si svolgono in borsa riguardano titoli già in circolazione.;Vorstehende Vorschriften gelten nicht, wenn der Erwerb der Vermögensgegenstände im Rahmen der laufenden Geschäfte der Gesellschaft, in der Zwangsvollstreckung oder an der Börse erfolgt. | Die Wertpapierbörse hat einen Börsenrat zu bilden, der aus höchstens 24 Personen besteht.
sequestro delle azioni;Zurückbehaltung;Nel caso di sequestro delle azioni il diritto di voto è esercitato dal custode.;Vertraut der Verwahrer die Wertpapiere einem Dritten an, so gilt als dem Dritten bekannt, daß die Wertpapiere dem Verwahrer nicht gehören. Der Dritte kann an den Wertpapieren ein Pfandrecht oder ein Zurückbehaltungsrecht nur wegen solcher Forderungen geltend machen, die mit Bezug auf diese Wertpapiere entstanden sind oder für die diese Wertpapiere nach dem einzelnen über sie zwischen dem Verwahrer und dem Dritten vorgenommenen Geschäft haften sollen.
gestore;Geschäftsführer;Il gestore è soggetto alle stesse obbligazioni che deriverebbero da un mandato.;Steht die Übernahme der Geschäftsführung mit dem wirklichen oder dem mutmaßlichen Willen des Geschäftsherrn in Widerspruch und musste der Geschäftsführer dies erkennen, so ist er dem Geschäftsherrn zum Ersatz des aus der Geschäftsführung entstehenden Schadens auch dann verpflichtet, wenn ihm ein sonstiges Verschulden nicht zur Last fällt.
scioglimento della comunione;Aufhebung der Gemeinschaft;Ciascuno dei partecipanti puó sempre domandare lo scioglimento della comunione.;Jeder Teilhaber kann jederzeit die Aufhebung der Gemeinschaft verlangen.
atto di diritto privato;zivilrechtlich Rechtsakt;In passato gli atti di diritto privato erano qualificati atti di gestione [...].;Etwas anderes gilt jedoch dann, wenn die in Frage stehenden, an sich privatrechtlichen Akte (unzulässigerweise und daher rechtswidrig) in der Form eines VA mit dem Anspruch auf Verbindlichkeit kraft öffentlichen Rechts ergehen oder in einer Weise in Erscheinung treten, daß sie nach Treu und Glauben vom Bürger so zu verstehen sind. | Keine Verwaltungsakte sind sonach alle privatrechtlichen Rechtsakte, etwa die Kündigung eines privatrechtlichen Mietvertrages.
diritto di brevetto;Patentrecht;Il diritto di brevetto spetta all'autore dell'invenzione e ai suoi aventi causa.;
negozio traslativo;Übertragungsgeschäft;I negozi di disposizione si distinguono in negozi traslativi [...] e abdicativi.;Verfügbar ist Zedent und Zessionar freilich das Zessionsgeschäft, dies ist aber als Übertragungsgeschäft festgelegt.
occupazione;Zueignung;Le cose mobili che non sono proprietà di alcuno si acquistano con l'occupazione.;Das Recht zur Aneignung des aufgegebenen Grundstücks steht dem Fiskus des Bundesstaats zu, in dessen Gebiete das Grundstück liegt. Der Fiskus erwirbt das Eigentum dadurch, daß er sich als Eigentümer in das Grundbuch eintragen läßt.
commissione di factoring;Provision der Factor;L'opera del factor riceve una contropartita nella c.d. commissione di factoring.;Für seine Dienstleistungen zieht [der Factor] vom Nennwert der gekauften Forderungen eine Factoringgebühr ab[...].
appellante;Berufungswerber;L'appellante deve inserire nel proprio fascicolo copia della sentenza appellata.;Der Berufungskläger kann die Berufung bis zur Verkündung des Berufungsurteils zurücknehmen. | Eine Stellungnahme des Gegners zur Berufungsbegründung sollte dem Berufungsführer mitgeteilt werden, wenn das Berufungsgericht erwägt, die Berufung nicht anzunehmen [...].
falsa attestazione;unwahr Bestätigung;La falsa attestazione può essere tanto provocata da richiesta, quanto spontanea.;Wer vorsätzlich oder grob fahrlässig eine unrichtige Bestätigung über Spenden und Mitgliedsbeiträge ausstellt oder veranlaßt, daß Zuwendungen nicht zu den in der Bestätigung angegebenen steuerbegünstigten Zwecken verwendet werden, haftet für die entgangene Steuer.
paesaggio;Landschaft;La valorizzazione del paesaggio concorre a promuovere lo sviluppo della cultura.;Verkehrswege, Energieleitungen und ähnliche Vorhaben sollen landschaftsgerecht geführt, gestaltet und so gebündelt werden, dass die Zerschneidung und die Inanspruchnahme der Landschaft sowie Beeinträchtigungen des Naturhaushalts vermieden oder so gering wie möglich gehalten werden.
cosa composta;zusammengesetzt Sache;"È importante distinguere la ""cosa composta"" dall' ""universalità di fatto"" [...].";Nicht selten besteht eine Sache aus mehreren Komponenten, die für sich genommen ebenfalls Sachen darstellen könnten, die aber infolge der Verbindung zu einer neuen, selbstständigen Sache ihre Eigenschaft als eigenständiges Rechstobjekt verloren haben. Sie werden im Rechstverkehr [...] nur als Elemente der zusammengesetzten Sache [wahrgenommen].
capacità processuale;Verhandlungsfähigkeit;La capacità processuale differisce dalla capacità sostanziale di diritto penale.;
conferimento di beni in proprietà;Leistung quoad dominium;I conferimenti in natura possono essere a loro volta in proprietà o in godimento.;Bei Einbringung einer Sache zu Eigentum ähnelt die Stellung des Gesellschafters der eines Verkäufers.
occhiali a maschera;Vollsichtbrille;Gli occhiali a maschera [...] non devono essere necessariamente fissati al casco.;Augen- und Gesichtsschutz wird als Gestellbrille, Korbbrille, Schutzschild oder Schutzschirm angeboten. | Vollsichtbrillen gehören zur Persönlichen Schutzausrüstung (PSA) und dienen dem Augenschutz [: ...] Sie können vor mechanischen, chemischen, biologischen, aber je nach Ausführung auch vor thermischen, elektrischen oder optischen Gefährdungen für die Augen schützen.
figlio;Sohn;I discendenti di figli premorti sono preferiti ai discendenti di figlie premorte.;Ausdruck der familiären Solidarität ist die dem Kind auferlegte Pflicht zur Dienstleistung im Hauswesen und geschäft der Eltern, soweit dies seinen Kräften und seiner Lebesnstellung entspricht.
supremo atto di governo della società;Grundlagenentscheidung;Alla assemblea [della Spa] spettano i supremi atti di governo della società [...];Diese Zuweisung von sogenannten Grundlagenentscheidungen an die Hauptversammlung setzt sich im Recht der verbundenen Unternehmen [...] fort.
apprendista;Azubi;La retribuzione dell'apprendista non può assumere la forma del salario a cottimo.;Lehrlinge dürfen nur in Begleitung und unter Aufsicht eines Bezirksschornsteinfegermeisters oder eines Gesellen arbeiten. | Beabsichtigt der Arbeitgeber, einen Auszubildenden, der Mitglied der Jugend- und Auszubildendenvertretung, des Betriebsrats, der Bordvertretung oder des Seebetriebsrats ist, nach Beendigung des Berufsausbildungsverhältnisses nicht in ein Arbeitsverhältnis auf unbestimmte Zeit zu übernehmen, so hat er dies drei Monate vor Beendigung des Berufsausbildungsverhältnisses dem Auszubildenden schriftlich mitzuteilen.
società occulta;Treuhandgesellschaft;[I]l contratto di società occulte viene, di solito, stipulato per iscritto [...].;
patrimonio culturale;Kulturerbe;Il patrimonio culturale è costituito dai beni culturali e dai beni paesaggistici.;Kulturgüter sind Bestandteil des kulturellen Erbes, welches neben Kulturgütern als körperliche Gegenstände auch immaterielle Werte von Kultureller Bedeutung erfasst. | Das Kulturerbe kann in materieller Form bestehen, wie etwa Bauwerke, oder in nichtmaterieller Form, wie etwa Schauspiel oder Tanz.
rappresentanza volontaria;gewillkürt Stellvertretung;La rappresentanza volontaria è quella la cui fonte è la volontà dell'interessato.;
