SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV)
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un S.P.P. interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Il S.P.P. è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Il datore di lavoro organizza il S.P.P. nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il S.P.P. sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism + full form;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P. (Servizio di prevenzione e protezione).;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism + full form;Anche nel caso di organizzazione di un Servizio di prevenzione e protezione (S.P.P.) interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism + full form;Il Servizio di prevenzione e protezione (S.P.P.) è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism + full form;Il datore di lavoro organizza il Servizio di prevenzione e protezione (SPP) nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;2;initialism + full form;Ci sono dei casi in cui è obbligatorio che il SPP (Servizio di prevenzione e protezione) sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;
abbreviated forms;3;initialism;L’ASPP è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;ASPP;yes;BASD, Beauftragter des Arbeitsschutzdienstes;Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;Possono essere nominati ASPP i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;ASPP;yes;BASD, Beauftragter des Arbeitsschutzdienstes;Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli ASPP sono disponibili sulla pagina web del servizio di prevenzione e protezione.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;L'ASPP è una figura che gerarchicamente risponde al RSPP.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;I compiti dell'ASPP nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;L’A.S.P.P. è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;Possono essere nominati A.S.P.P. i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli A.S.P.P. sono disponibili sulla pagina web del servizio di prevenzione e protezione.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;L'A.S.P.P. è una figura che gerarchicamente risponde al R.S.P.P.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;3;initialism;I compiti dell'A.S.P.P. nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;
abbreviated forms;4;initialism;I DPI devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il DPI non è più integro e deve essere sostituito.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più DPI, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei DPI, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel DPI, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;I Dpi devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il Dpi non è più integro e deve essere sostituito.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più Dpi, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei Dpi, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel Dpi, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;I d.p.i. devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il d.p.i. non è più integro e deve essere sostituito.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più d.p.i., questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei d.p.i., i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel d.p.i., la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung
abbreviated forms;5;initialism;L’elezione o la designazione dell'RLS è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;La figura dell'RLS ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;L'RLS è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un RLS svincolato dai sindacati.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;Il datore di lavoro e i dirigenti hanno l’obbligo di consultare gli RLS sostanzialmente nell’ambito di tutte le scelte in relazione la salute e sicurezza sul lavoro.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;L’elezione o la designazione dell'R.L.S. è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;La figura dell'R.L.S. ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;L'R.L.S. è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un R.L.S. svincolato dai sindacati.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;5;initialism;Il datore di lavoro e i dirigenti hanno l’obbligo di consultare gli R.L.S. sostanzialmente nell’ambito di tutte le scelte in relazione la salute e sicurezza sul lavoro.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;
abbreviated forms;6;acronym;Il DUVRI deve essere aggiornato nel caso si ravvisino nuovi rischi da interferenza.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;L'obbligo di redigere il DUVRI scatta quando il Datore di lavoro di un'azienda committente affida lo svolgimento di lavori o servizi all'interno del proprio luogo di lavoro ad un'impresa appaltatrice o lavoratori autonomi.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;Esistono dei casi, individuati dal Testo Unico, in cui non è obbligatorio redigere il DUVRI.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;A differenza del DVR, il DUVRI non è un documento legato all’azienda ma ad una specifica attività, all’interno della quale cooperano due o più imprese diverse. ;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;La stazione appaltante si riserva la possibilità, dopo aver valutato le singole modifiche suggerite, di procedere alla stesura di un nuovo DUVRI.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;Il Duvri deve essere aggiornato nel caso si ravvisino nuovi rischi da interferenza. ;Duvri;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;L'obbligo di redigere il Duvri scatta quando il Datore di lavoro di un'azienda committente affida lo svolgimento di lavori o servizi all'interno del proprio luogo di lavoro ad un'impresa appaltatrice o lavoratori autonomi.;Duvri;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;Esistono dei casi, individuati dal Testo Unico, in cui non è obbligatorio redigere il Duvri.;Duvri;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;A differenza del DVR, il Duvri non è un documento legato all’azienda ma ad una specifica attività, all’interno della quale cooperano due o più imprese diverse.;Duvri;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;La stazione appaltante si riserva la possibilità, dopo aver valutato le singole modifiche suggerite, di procedere alla stesura di un nuovo Duvri.;Duvri;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;Il D.U.V.R.I. deve essere aggiornato nel caso si ravvisino nuovi rischi da interferenza.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;L'obbligo di redigere il D.U.V.R.I. scatta quando il Datore di lavoro di un'azienda committente affida lo svolgimento di lavori o servizi all'interno del proprio luogo di lavoro ad un'impresa appaltatrice o lavoratori autonomi.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;Esistono dei casi, individuati dal Testo Unico, in cui non è obbligatorio redigere il D.U.V.R.I.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;A differenza del D.V.R., il D.U.V.R.I. non è un documento legato all’azienda ma ad una specifica attività, all’interno della quale cooperano due o più imprese diverse.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym;La stazione appaltante si riserva la possibilità, dopo aver valutato le singole modifiche suggerite, di procedere alla stesura di un nuovo D.U.V.R.I.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym + full form;Il DUVRI - Documento Unico di Valutazione dei Rischi da Interferenze - deve essere aggiornato nel caso si ravvisino nuovi rischi da interferenza.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym + full form;L'obbligo di redigere il DUVRI (Documento unico di valutazione dei rischi da interferenze) scatta quando il Datore di lavoro di un'azienda committente affida lo svolgimento di lavori o servizi all'interno del proprio luogo di lavoro ad un'impresa appaltatrice o lavoratori autonomi.;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym + full form;Esistono dei casi, individuati dal Testo Unico, in cui non è obbligatorio redigere il Documento Unico di Valutazione dei Rischi da Interferenze (D.U.V.R.I.).;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym + full form;A differenza del D.V.R., il Documento unico di valutazione dei rischi da interferenze (D.U.V.R.I.) non è un documento legato all’azienda ma ad una specifica attività, all’interno della quale cooperano due o più imprese diverse.;D.U.V.R.I.;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;6;acronym + full form;La stazione appaltante si riserva la possibilità, dopo aver valutato le singole modifiche suggerite, di procedere alla stesura di un nuovo DUVRI (Documento unico di valutazione dei rischi da interferenze).;DUVRI;no;DUVRI;Einheitsdokument zur Bewertung der Risiken durch Interferenzen;
abbreviated forms;7;initialism;Il DVR è un documento versatile e flessibile che deve adattarsi alle caratteristiche dell'azienda, in termini sia di contenuti sia di periodicità della revisione.;DVR;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;Lo scopo del DVR è quello di garantire la sicurezza sul lavoro, identificando i rischi e individuando le misure di sicurezza da adottare per prevenire e contenere gli infortuni sul lavoro e le malattie professionali.;DVR;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;Sono esonerate dall’obbligo di redigere il DVR le aziende che non hanno dipendenti, come le imprese familiari e i liberi professionisti.;DVR;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;In caso di un DVR incompleto o carente, le sanzioni possono arrivare fino a € 4.384,00.;DVR;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;La valutazione dei rischi e la successiva redazione del DVR è uno degli obblighi principali di ogni Datore di Lavoro.;DVR;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;Il D.V.R. è un documento versatile e flessibile che deve adattarsi alle caratteristiche dell'azienda, in termini sia di contenuti sia di periodicità della revisione.;D.V.R.;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;Lo scopo del D.V.R. è quello di garantire la sicurezza sul lavoro, identificando i rischi e individuando le misure di sicurezza da adottare per prevenire e contenere gli infortuni sul lavoro e le malattie professionali.;D.V.R.;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;Sono esonerate dall’obbligo di redigere il D.V.R. le aziende che non hanno dipendenti, come le imprese familiari e i liberi professionisti.;D.V.R.;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;In caso di un D.V.R. incompleto o carente, le sanzioni possono arrivare fino a € 4.384,00.;D.V.R.;no;Dokument der Risikobewertung;;
abbreviated forms;7;initialism;La valutazione dei rischi e la successiva redazione del D.V.R. è uno degli obblighi principali di ogni Datore di Lavoro.;D.V.R.;no;Dokument der Risikobewertung;;
abbreviated forms;8;abbreviation;La presente delibera sarà pubblicata nel Bollettino Ufficiale della Regione Trentino Alto Adige ai sensi dell’art. 28 della Legge Provinciale 22 ottobre 1993, n. 17 e ss.mm.ii., trattandosi di un atto che interessa la generalità.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;In caso di revoca, decadenza, ovvero rinuncia, ai sensi dell’art. 7 della l.p. 16/85 e ss.mm.ii., i tempi e le modalità di cessazione dei servizi saranno stabilite con apposito provvedimento dell’assessore provinciale.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;La Delibera dispone la sospensione dell’irrogazione della sanzione amministrativa di cui al comma 2 dell’articolo 36/bis della legge provinciale n. 7/2001, così come recepita dalla Delibera della Giunta Provinciale del 03 luglio 2018, n. 657 e ss.mm.ii.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;L'articolo 2, comma 2 della legge provinciale n. 16/2015 e ss.mm.ii. individua gli enti obbligati ovvero legittimati all’utilizzo delle convenzioni quadro ACP.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Nella procedura negoziata, la migliore offerta verrà selezionata ai sensi dell’art. 33 della L.P. n. 16/2015 e ss.mm.ii. con il criterio dell’offerta economicamente più vantaggiosa.;ss.mm.ii.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;A livello provinciale è stata introdotta una semplificazione con l’inserimento dell’art. 27 comma 4/bis della L.P. n. 16/2015 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Sono ammissibili a finanziamento pubblico progetti formativi finalizzati a favorire la qualificazione o la riqualificazione professionale per il conseguimento del Diploma di Qualifica di Operatore Socio-sanitario/Operatrice Socio-sanitaria ai sensi dell’art. 20 della DGP 1027/2018 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Per le procedure negoziate di lavori, forniture e servizi di cui agli artt. 17 e 26 della L.P. n. 16/2015 e s.m.i. le stazioni appaltanti hanno la facoltà di non applicare le formule per il calcolo dell’anomalia delle offerte di cui alla presente linea guida.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;Il valore del corrispettivo per dette prestazioni è calcolato sulla base del DM 17.06.2016 e s.m.i. e della DGP n. 1308/2014 e s.m.i.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;8;abbreviation;A norma del decreto legislativo n. 33/2013 e s.m.i. come modificato dal decreto legislativo n. 97/2016 e s.m.i., la trasparenza va intesa come accessibilità totale dei dati e dei documenti detenuti dalle Pubbliche Amministrazioni.;s.m.i.;no;i.g.F.;in geltender Fassung;
abbreviated forms;9;abbreviation;All’art. 13 ter, punto 7 del decreto sono riportate le diposizioni per le unità immobiliari ad uso abitativo oggetto di locazione per finalità turistiche.;art.;no;Art.;Artikel;
abbreviated forms;9;abbreviation;L’art. 43, comma 4-bis proroga il termine per gli adeguamenti statutari.;art.;no;Art.;Artikel;
